source	action	dest	remap	note
frontend/14-lexer-enforces-reserved-punctuation-escapes-and-numeric-separators-4.hd	mv	pv/identifier-interpolation	-	-
frontend/14-lexer-enforces-reserved-punctuation-escapes-and-numeric-separators-5.hd	mv	pi/stray-dollar-in-string	invalid-string-interpolation=syntax-error	-
frontend/14-lexer-enforces-reserved-punctuation-escapes-and-numeric-separators-6.hd	mv	pv/unicode-scalar-escape	-	-
frontend/14-lexer-enforces-reserved-punctuation-escapes-and-numeric-separators.hd	mv	pi/semicolon-after-binding	-	-
frontend/15-parser-retains-string-interpolation-expressions-and-raw-dollars-2.hd	mv	pv/raw-string-dollars	-	-
frontend/15-parser-retains-string-interpolation-expressions-and-raw-dollars.hd	mv	pv/expression-interpolation	-	-
frontend/16-parser-rejects-comparison-chaining.hd	mv	pi/comparison-chaining-with-names	-	-
frontend/17-parser-retains-named-call-labels-and-enforces-argument-ordering-2.hd	mv	pi/positional-after-named-argument	-	-
frontend/17-parser-retains-named-call-labels-and-enforces-argument-ordering.hd	mv	pv/named-call-arguments	-	-
frontend/18-parser-retains-vararg-and-positional-spread-markers-2.hd	mv	pv/spread-before-named-argument	-	-
frontend/18-parser-retains-vararg-and-positional-spread-markers-3.hd	mv	ti/positional-after-spread	-	-
frontend/18-parser-retains-vararg-and-positional-spread-markers.hd	mv	pv/vararg-and-spread	-	-
frontend/19-parser-retains-function-parameter-defaults-2.hd	mv	pi/vararg-with-default	vararg-default=syntax-error	-
frontend/19-parser-retains-function-parameter-defaults.hd	mv	pv/parameter-defaults	-	-
frontend/20-parser-retains-a-leading-data-copy-update-spread-2.hd	mv	pi/copy-update-spread-not-first	data-spread-position=syntax-error	-
frontend/20-parser-retains-a-leading-data-copy-update-spread.hd	mv	pv/copy-update-spread	-	-
frontend/21-parser-retains-named-enum-payload-pattern-labels.hd	mv	pv/named-payload-pattern-labels	-	-
frontend/22-parser-retains-nested-result-payload-patterns.hd	mv	pv/nested-result-payload-pattern	-	-
frontend/23-parser-retains-literal-enum-payload-patterns.hd	mv	pv/literal-payload-pattern	-	-
frontend/24-parser-retains-shared-enum-fields-defaults-and-variant-results.hd	mv	pv/shared-enum-fields	-	-
frontend/25-parser-retains-decimal-numeric-member-selectors.hd	mv	pv/numeric-member-selectors	-	-
frontend/26-parser-distinguishes-grouped-expressions-from-tuple-types-and-literals.hd	mv	pv/tuples-and-groups	-	-
frontend/27-documentation-comments-attach-to-ast-declarations-and-members-source.hd	mv	pv/documentation-comments	-	-
frontend/27-documentation-comments-attach-to-ast-declarations-and-members.hd	del	parse/invalid/doc-comment-without-target.hd	-	identical to the conformance copy
frontend/28-parser-retains-top-level-public-visibility.hd	mv	pv/public-declarations	-	-
frontend/29-parser-retains-named-test-blocks.hd	mv	pv/test-block-discard	-	-
frontend/30-parser-lowers-multi-provider-use-to-an-ordered-tuple.hd	mv	pv/multi-provider-use	-	-
frontend/31-parser-retains-single-and-grouped-use-declarations.hd	mv	pv/single-and-grouped-use	-	-
requirements/closure-provider.hd	hold	-	-	implementation detail: explain-requirements output
requirements/lexical-override.hd	hold	-	-	implementation detail: explain-requirements output
requirements/loop-exit.hd	hold	-	-	implementation detail: explain-requirements output
requirements/transitive-call-paths.hd	hold	-	-	implementation detail: explain-requirements output
suspension/01-suspending-functions-construct-gc-frames-and-bang-calls-drive-them.hd	man	rv/suspending-call-with-requirement	-	F-201: declare Clock
suspension/02-generic-suspending-functions-box-frame-arguments-and-unbox-direct-or-sto.hd	res	rv/generic-suspending-function	-	-
suspension/03-generic-suspension-frames-retain-trait-dictionaries-across-child-polls.hd	res	rv/generic-suspending-function-bound	-	-
suspension/04-ordinary-suspending-calls-are-cold-values-and-bang-calls-need-a-driver-diagnostic-2.hd	mv	ti/bang-call-in-plain-function	-	-
suspension/04-ordinary-suspending-calls-are-cold-values-and-bang-calls-need-a-driver-diagnostic-3.hd	hold	-	-	marks not-suspending, which spec/README.md does not inventory (F-205)
suspension/04-ordinary-suspending-calls-are-cold-values-and-bang-calls-need-a-driver-diagnostic-4.hd	mv	ti/drive-readonly-suspension	-	-
suspension/04-ordinary-suspending-calls-are-cold-values-and-bang-calls-need-a-driver-diagnostic.hd	mv	tw/unused-cold-suspension	-	-
suspension/05-unresolved-race-task-combinator.hd	hold	-	-	marks unsupported-task-combinator; unsupported-* codes stay out of the inventory (D9)
suspension/05-unresolved-standard-task-combinators-have-a-dedicated-boundary-diagnosti-userdefined.hd	hold	-	-	declares its own all!; whether that is allowed next to the all! intrinsic (L12) is not specified
suspension/05-unresolved-standard-task-combinators-have-a-dedicated-boundary-diagnosti.hd	hold	-	-	marks unsupported-task-combinator; unsupported-* codes stay out of the inventory (D9)
suspension/06-explicit-mutable-suspension-bindings-are-one-shot-seconddrive.hd	man	rp/second-drive-of-completed-suspension	-	marker moved from the header to the second drive; D2: called from a test block
suspension/06-explicit-mutable-suspension-bindings-are-one-shot-valid.hd	res	rv/stored-suspension-single-drive	-	-
suspension/07-cold-suspension-cancellation-is-synchronous-and-idempotent.hd	res	rv/cold-suspension-cancel-idempotent	-	-
suspension/08-cancelled-suspensions-cannot-be-driven-and-readonly-values-cannot-be-can-cancelled.hd	man	rp/drive-cancelled-suspension	-	marker moved from the header to the drive; D2: called from a test block
suspension/08-readonly-suspension-cancel.hd	mv	ti/cancel-readonly-suspension	-	-
suspension/09-defer-suites-cannot-suspend.hd	mv	ti/bang-call-in-defer	-	-
suspension/10-suspension-state-transitions-are-observable-through-the-trace-abi.hd	hold	-	-	implementation detail: trace ABI event order
suspension/11-deterministic-host-pending.hd	hold	-	-	implementation detail: host pending across polls, driven from TypeScript
suspension/12-development-drivers-reject-competing-and-reentrant-suspension-control.hd	hold	-	-	implementation detail: driver misuse through __hd_* exports
suspension/13-child-pending-propagates-through-the-parent-frame-and-restores-locals.hd	res	rv/suspending-call-preserves-locals	-	-
suspension/13-nested-pending-frame.hd	res	rv/nested-suspending-call	-	-
suspension/14-started-frame-cancellation-cancels-the-child-and-runs-registered-cleanup.hd	res	rv/suspending-call-with-defer	-	-
suspension/15-cancellation-unwinds-child-frames-before-parent-cleanup.hd	man	rv/cancellation-cleanup-order	-	F-210: accept-only; rewritten as a cancellation-cleanup scenario that observes order
suspension/16-linear-suspension-frames-resume-across-multiple-child-sites.hd	res	rv/sequential-suspending-calls	-	-
suspension/17-cfg-suspension-lowering-preserves-nested-expression-evaluation.hd	res	rv/suspending-calls-in-binary-expression	-	-
suspension/18-cfg-suspension-lowering-preserves-nested-argument-order.hd	res	rv/suspending-calls-as-arguments	-	-
suspension/19-cfg-suspension-lowering-branches-and-short-circuits-around-child-frames.hd	res	rv/suspending-calls-in-branches	-	-
suspension/20-cfg-suspension-lowering-preserves-loops-continue-break-values-and-cleanu.hd	res	rv/suspending-calls-in-loops	-	-
suspension/21-cfg-suspension-lowering-preserves-match-bindings-and-suspending-guards.hd	res	rv/suspending-match-guards	-	-
suspension/22-cfg-suspension-lowering-propagates-result-failures-after-child-completio.hd	res	rv/suspending-result-propagation	-	-
suspension/23-cfg-suspension-cancellation-cancels-the-active-child-and-runs-scoped-cle.hd	res	rv/suspending-call-in-scoped-defer	-	-
suspension/24-cfg-suspension-lowering-installs-providers-produced-after-resumption.hd	res	rv/provider-from-suspending-call	-	-
suspension/25-cfg-suspension-lowering-nests-dynamic-trait-suspensions.hd	res	rv/dynamic-suspending-method	-	-
suspension/26-replay-rejects-function-code-change.hd	hold	-	-	implementation detail: replay rejection, driven from TypeScript
suspension/26-replay-survives-unrelated-declaration.hd	hold	-	-	implementation detail: replay stability, driven from TypeScript
suspension/26-suspension-poll-decisions-record-and-replay-with-configuration-identity.hd	hold	-	-	implementation detail: record and replay configuration identity
suspension/27-println-requires-console-and-streams-displayed-utf-8-through-the-host-bo-missing-requirement.hd	mv	ti/println-without-console	-	-
suspension/27-println-requires-console-and-streams-displayed-utf-8-through-the-host-bo.hd	hold	-	-	claims console output; stdout expectations are deferred (N5)
suspension/28-multi-provider-use-preserves-requested-tuple-order-through-wasm-gc.hd	res	rv/multi-provider-use-order	-	-
suspension/29-imported-block-on-drives-stored-suspensions-and-rejects-nested-drivers-nested.hd	man	rp/block-on-inside-driver	-	marker moved from the header to block_on; D2: called from a test block
suspension/29-imported-block-on-drives-stored-suspensions-and-rejects-nested-drivers-suspension-forbidden-context.hd	mv	ti/block-on-in-defer	-	-
suspension/29-imported-block-on-drives-stored-suspensions-and-rejects-nested-drivers.hd	res	rv/block-on-stored-suspension	-	-
suspension/30-imported-assert-equal-compares-supported-structural-values-failure.hd	man	rp/assert-equal-lists-outside-test	-	D2: called from a test block
suspension/30-imported-assert-equal-compares-supported-structural-values-missing-partial-eq.hd	mv	ti/assert-equal-fieldless-data-without-partial-eq	-	-
suspension/30-imported-assert-equal-compares-supported-structural-values.hd	res	rv/assert-equal-nested-tuple	-	-
suspension/31-module-bindings-lower-to-wasm-globals-shared-with-declared-functions-non-reassignable-binding.hd	mv	ti/reassign-short-module-binding	-	-
suspension/31-module-bindings-lower-to-wasm-globals-shared-with-declared-functions.hd	man	rv/module-binding-shared-with-functions	-	F-210: accept-only; a test block now observes the shared binding
suspension/32-host-provider-polls-record-and-replay.hd	hold	-	-	implementation-only profile ready-gate (N2); D10: check moved into main!
suspension/33-host-provider-scalar-arguments-and-results.hd	hold	-	-	implementation-only profile ready-counter (N2); D10: check moved into main!
suspension/34-stored-suspension-crosses-function-boundary.hd	man	rv/stored-suspension-parameter	-	D10: test block no longer reads state main! wrote
suspension/35-host-provider-f64-values-use-durable-bit-encoding.hd	hold	-	-	implementation-only profile ready-float (N2); D10 and F-210: sign-sensitive check moved into main!
suspension/36-host-provider-strings-use-utf8-boundary.hd	hold	-	-	implementation-only profile ready-text (N2); D10: check moved into main!
suspension/37-named-suspending-function-values-construct-stored-frames.hd	mv	rv/suspending-function-values	-	-
suspension/38-suspending-closures-capture-values-in-gc-frames.hd	mv	rv/suspending-closure-captures	-	-
suspension/39-suspending-closure-values-forward-requirements.hd	mv	rv/suspending-closure-requirement-row	-	-
suspension/40-lowered-suspension-constructor-does-not-upgrade.hd	mv	ti/suspension-constructor-to-bang-function	-	-
suspension/41-suspending-generic-methods-preserve-explicit-type-arguments.hd	mv	rv/suspending-generic-method	-	-
suspension/42-suspending-associated-functions-preserve-generic-results.hd	hold	-	-	uses `Type::name[T]!(...)`, which the chapter-02 EBNF does not derive
suspension/43-blanket-implementations-materialize-suspending-dictionaries.hd	mv	rv/suspending-blanket-impls	-	-
suspension/44-named-local-suspending-functions-capture-recurse-and-forward-requirements.hd	mv	rv/named-local-suspending-function	-	-
